engine,adapter_kind,workload,durability_profile,dataset_size,iterations,mean_us,p50_us,p95_us,p99_us,throughput_per_s,disk_bytes,checkpoint_us,recovery_us,notes
sqlite,embedded-native,recovery,relaxed,small,3,189.064,171.684,171.684,171.684,5289.21,139264,-1,189.064,""
sqlite,embedded-native,bulk_load,relaxed,medium,10000,2.4887,2.4887,2.4887,2.4887,401816,3608936,-1,-1,""
sqlite,embedded-native,point_read,relaxed,medium,300,5.30517,5.353,6.03,8.816,188495,3608936,-1,-1,""
sqlite,embedded-native,range_scan,relaxed,medium,10,7972.66,7518.71,9691.98,9691.98,125.429,3608936,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite,embedded-native,checkpoint,relaxed,medium,3,651.939,8.039,8.039,8.039,1533.89,3575808,651.939,-1,""
sqlite,embedded-native,recovery,relaxed,medium,3,147.831,128.202,128.202,128.202,6764.5,3575808,-1,147.831,""
sqlite,embedded-native,bulk_load,relaxed,large,20000,3.0959,3.0959,3.0959,3.0959,323008,29002440,-1,-1,""
sqlite,embedded-native,point_read,relaxed,large,300,5.41586,5.41,5.727,6.431,184643,29002440,-1,-1,""
sqlite,embedded-native,range_scan,relaxed,large,4,14153.2,14054.6,14054.6,14054.6,70.6556,29002440,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite,embedded-native,checkpoint,relaxed,large,3,394.773,9.605,9.605,9.605,2533.1,14471168,394.773,-1,""
sqlite,embedded-native,recovery,relaxed,large,3,147.772,123.206,123.206,123.206,6767.17,14471168,-1,147.772,""
sqlite,embedded-native,bulk_load_per_row_commit,relaxed,small,1000,7.59664,7.59664,7.59664,7.59664,131637,4255200,-1,-1,"one commit per row, contrast with bulk_load's single commit"
sqlite,embedded-native,mixed_read_write,relaxed,small,200,5.34778,4.486,8.711,10.406,186993,288216,-1,-1,"80/20 read/write mix"
sqlite_orm,embedded-orm,small_durable_txn,durable,n/a,200,3287.05,3115.45,4340.19,5063.99,304.224,28672,-1,-1,""
sqlite_orm,embedded-orm,bulk_load,durable,small,1000,18.0879,18.0879,18.0879,18.0879,55285.7,106496,-1,-1,""
sqlite_orm,embedded-orm,point_read,durable,small,300,202.703,188.822,243.26,313.763,4933.33,106496,-1,-1,""
sqlite_orm,embedded-orm,range_scan,durable,small,20,693.615,590.268,1155.6,1155.6,1441.72,106496,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite_orm,embedded-orm,checkpoint,durable,small,3,299.676,258.446,258.446,258.446,3336.94,106496,299.676,-1,""
sqlite_orm,embedded-orm,recovery,durable,small,3,659.912,600.431,600.431,600.431,1515.35,106496,-1,659.912,""
sqlite_orm,embedded-orm,bulk_load,durable,medium,10000,10.7137,10.7137,10.7137,10.7137,93338.3,3543040,-1,-1,""
sqlite_orm,embedded-orm,point_read,durable,medium,300,202.689,192.827,219.495,283.791,4933.67,3543040,-1,-1,""
sqlite_orm,embedded-orm,range_scan,durable,medium,10,5759.01,5303.15,5824.34,5824.34,173.641,3543040,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite_orm,embedded-orm,checkpoint,durable,medium,3,164.056,144.107,144.107,144.107,6095.47,3543040,164.056,-1,""
sqlite_orm,embedded-orm,recovery,durable,medium,3,315.459,295.77,295.77,295.77,3169.98,3543040,-1,315.459,""
sqlite_orm,embedded-orm,bulk_load,durable,large,20000,11.8168,11.8168,11.8168,11.8168,84625.2,14438400,-1,-1,""
sqlite_orm,embedded-orm,point_read,durable,large,300,159.603,147.665,166.375,224.921,6265.53,14438400,-1,-1,""
sqlite_orm,embedded-orm,range_scan,durable,large,4,14411.4,13963.8,13963.8,13963.8,69.3893,14438400,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
